#"Survival(Time), created by Plot Digitizer, 2.6.9"
#"Date: 24/08/2021, 23:33:48"
Time,Survival,n,Group,Colour
65.9686,0.80,5,TMD,black
69.0052,0.40,5,TMD,black
73.9267,0.20,5,TMD,black
78.0105,0.00,5,TMD,black
74.0314,0.80,5,Anti-VEGF,purple
76.9633,0.60,5,Anti-VEGF,purple
80,0.40,5,Anti-VEGF,purple
81.0471,0.20,5,Anti-VEGF,purple
85.1309,0.00,5,Anti-VEGF,purple
78.0105,0.80,5,Combo,beige
83.1414,0.60,5,Combo,beige
87.1204,0.40,5,Combo,beige
89.9476,0.20,5,Combo,beige
95.0785,0.00,5,Combo,beige
